번호,테스트그룹,원본매프텍스트,STT추출값,DB저장결과
1,tts_perfect,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,저장성공
2,tts_perfect,お腹が空いたので、近くのレストランで何か温かいものでも食べませんか。,おなかがすいたので、近くのレストランで何かあたたかいものでも食べませんか。,저장성공
3,tts_perfect,明日の約束の時間に遅れそうだったら、できるだけ早く連絡してください。,明日の役底の時間におくれそうだったら、できるだけ早く連絡してください。,저장성공
4,tts_perfect,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,저장성공
5,tts_perfect,この服はデザインはいいのですが、ちょっとサイズが小さい気がします。,この服はデザインはいいのですが、ちょっとサイズが小さい気がします。,저장성공
6,tts_perfect,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,저장성공
7,tts_perfect,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,저장성공
8,tts_perfect,日本の文化に興味があるので、いつか京都に行ってみたいです。,日本の文化に興味があるので、いつかきょうとに行ってみたいです。,저장성공
9,tts_perfect,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,저장성공
10,tts_perfect,終電の時間を確認しておかないと、帰れなくなるかもしれません。,集電の時間を確認しておかないと、変えれなくなるかもしれません。,저장성공
11,tts_perfect,明日の会議は午後三時半からに変更になりましたのでご注意ください。,明日の会議は午後3時半からに変更になりましたのでご注意ください,저장성공
12,tts_perfect,提出期限は今週の金曜日の午後五時までとなっております。,提出期限は今週の金曜日の午後5時までとなっております,저장성공
13,tts_perfect,今回のプロジェクトの予算案を、今日中に確認してメールで送ってください。,今回のプロジェクトの予算案を、共重に確認してメールで送ってください。,저장성공
14,tts_perfect,資料の作成が終わりましたら、一度チェックをお願いいたします。,資料の作成が終わりましたら、一度チェックをお願い致します。,저장성공
15,tts_perfect,来月のスケジュールについて、調整が必要な部分があります。,来月のスケジュールについて、調整が必要な部分があります。,저장성공
16,tts_perfect,お手数をおかけしますが、こちらの書類にサインをお願いします。,お手数をおかけしますが、こちらの処理にサインをお願いします。,저장성공
17,tts_perfect,駅から会社までは歩いて十五分ほどかかります。,駅から回車までは歩いて15分ほどかかります,저장성공
18,tts_perfect,先ほどお送りしたメール의 첨부파일을 확인해 주세요.,先ほどお送りしたメールイケオンブパイルール、ファジン・ハイ・ジュスティオ,저장성공
19,tts_perfect,本日の営業時間は午後八時をもちまして終了いたしました。,本日の営業時間は午後8時を持ちまして終了いたしました。,저장성공
20,tts_perfect,新しいクライアントとの打ち合わせは来週の水曜日です。,新しいクライアントとの打ち合わせは来週の水曜日です。,저장성공
21,tts_perfect,ここを真っ直ぐ行って、二つ目の交差点を右に曲がると駅があります。,ここをまっすぐ行って、2つ目の交差点を右に曲がると駅があります。,저장성공
22,tts_perfect,横断歩道を渡ってから、左側に大きなビルが見えてきます。,オーダンホードを渡ってから左側に大きなビルが見えてきます。,저장성공
23,tts_perfect,新宿駅の東口を出て、五分ほど歩いたところにあります。,新宿平均の東口を出て、5分ほど歩いたところにあります。,저장성공
24,tts_perfect,そのビルの地下にある喫茶店は、とても雰囲気が良いです。,そのびるの近に歩きさ点は、とても吹息が良いです。,저장성공
25,tts_perfect,信号を渡らずに、手前の角を左に曲がってください。,信号を当たらずに、手前のつの左に曲がってください。,저장성공
26,tts_perfect,ホテルの向かい側に、二十四時間営業 of コンビニがあります。,ホテルの迎え側に、24時間平行をおぶコンビニがあります。,저장성공
27,tts_perfect,この道をずっと進むと、突き当たりに大きな公園が見えます。,この道をずっと進むと、付き当たりに動きな公園が見えます。,저장성공
28,tts_perfect,階段を上って二階に上がると、右手に受付がございます。,階段を登って2階に上がると右手に受け付けがございます。,저장성공
29,tts_perfect,北口の改札を出てすぐのところに、案内図が設置されています。,北口の開札を出てすぐのところに、案内図が設置されています。,저장성공
30,tts_perfect,駐車場の入り口は、建物の裏側にございますのでご注意ください。,中車上の入り口は、縦物の裏側にございますのでご注意ください。,저장성공
31,tts_perfect,図書館に行って勉強をしましたが、あまり集中できませんでした。,徒職案に行って勉強しましたが、あまり集中できませんでした。,저장성공
32,tts_perfect,友達と一緒に美味しいお寿司を食べに行きました。,友達と一緒においしいをずしを食べに行きました。,저장성공
33,tts_perfect,週末に家族と一緒に映画館へ行って、話題の映画を見ました。,週末に家族と一緒に映画観へ行って、話題の映画を見ました。,저장성공
34,tts_perfect,先生に質問をしたら、とても親切に教えてくれました。,先生に質問をしたら、とても親切に教えてくれました。,저장성공
35,tts_perfect,病院の予約が十時なので、急いで行かなければなりません。,病院の予約が10時なので、急いで行かなければなりません。,저장성공
36,tts_perfect,飛行機のチケットをインターネットで予約しました。,飛行機のチケットをインターネットで予約しました。,저장성공
37,tts_perfect,昨日はたくさん歩いたので、足がとても疲れました。,機能はたくさんあるいたので、足がとても疲れました。,저장성공
38,tts_perfect,毎日日本語の単語を五十個ずつ覚えるようにしています。,毎日日本語の単語を50個ずつ覚えるようにしています,저장성공
39,tts_perfect,お茶を飲みながら、これからの計画について話し合いました。,お茶を飲みながら、これからの計画について話し合いました。,저장성공
40,tts_perfect,自転車に乗って近くの公園まで遊びに行きました。,自転車に乗って近くの公園まで遊びに行きました。,저장성공
