발화ID,라즈베리파이_원본텍스트,서버_최종_교정본,RAG_매칭여부
1,안녕하세요.,안녕하세요.,RAG매칭
2,始めまして,始めまして,RAG매칭
3,언니 좋아,언니 좋아,RAG매칭
4,こんにちは,こんにちは,RAG매칭
5,ライシーの力なんですけど、大きい側はそのまま,ライシーの力なんですけど、大きい側はそのまま,RAG매칭
6,次回,次回,RAG매칭
7,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか?,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか?,RAG매칭
17,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,来週の旅行なんですけど、天気が悪そうなら予定を変更した方がいいんじゃないですか。,RAG매칭
18,おなかがすいたので、近くのレストランで何かあたたかいものでも食べませんか。,おなかがすいたので、近くのレストランで何かあたたかいものでも食べませんか。,RAG매칭
19,明日の役底の時間におくれそうだったら、できるだけ早く連絡してください。,明日の役目時間におくれそうだったら、できるだけ早く連絡してください。,RAG매칭
20,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,最近仕事が忙しくて、週末にゆっくり休む時間が全然ありません。,RAG매칭
21,この服はデザインはいいのですが、ちょっとサイズが小さい気がします。,この服のデザインはいいのですが、ちょっとサイズが小さい気がします。,RAG매칭
22,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,友達の誕生日に何をプレゼントしたら喜んでくれるか悩んでいます。,RAG매칭
23,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,映画を見に行きたいのですが、一緒に行く人がいなくて困っています。,RAG매칭
24,日本の文化に興味があるので、いつかきょうとに行ってみたいです。,日本の文化に興味があるので、いつかきょうとに行ってみたいです。,RAG매칭
25,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,コーヒーを飲みながら、静かなカフェで本を読むのが好きです。,RAG매칭
26,集電の時間を確認しておかないと、変えれなくなるかもしれません。,集電の時間を確認しておかないと、変えることができなくなるかもしれません。,RAG매칭
27,明日の会議は午後3時半からに変更になりましたのでご注意ください,明日の会議は午後3時半からに変更になりましたのでご注意ください,RAG매칭
28,提出期限は今週の金曜日の午後5時までとなっております,提出期限は今週の金曜日の午後5時までとなっております,RAG매칭
29,今回のプロジェクトの予算案を、共重に確認してメールで送ってください。,今回のプロジェクトの予算案を、共に確認してメールで送ってください。,RAG매칭
30,資料の作成が終わりましたら、一度チェックをお願い致します。,資料の作成が終わりましたら、一度チェックをお願いいたします。,RAG매칭
31,来月のスケジュールについて、調整が必要な部分があります。,来月のスケジュールについて、調整が必要な部分があります。,RAG매칭
32,お手数をおかけしますが、こちらの処理にサインをお願いします。,お手数をおかけしますが、こちらの処理にサインをお願いします。,RAG매칭
33,駅から回車までは歩いて15分ほどかかります,駅から回車までは歩いて15分ほどかかります,RAG매칭
34,先ほどお送りしたメールイケオンブパイルール、ファジン・ハイ・ジュスティオ,先ほどお送りしたメールのイケオンブパイルール、ファジン・ハイ・ジュスティオ,RAG매칭
35,本日の営業時間は午後8時を持ちまして終了いたしました。,本日の営業時間は午後8時までです。,RAG매칭
36,新しいクライアントとの打ち合わせは来週の水曜日です。,新しいクライアントとの打ち合わせは来週の水曜日です。,RAG매칭
37,ここをまっすぐ行って、2つ目の交差点を右に曲がると駅があります。,ここをまっすぐ行って、2つ目の交差点を右に曲がると駅があります。,RAG매칭
38,オーダンホードを渡ってから左側に大きなビルが見えてきます。,オーダンホードを渡ってから左側に大きなビルが見えてきます。,RAG매칭
39,新宿平均の東口を出て、5分ほど歩いたところにあります。,新宿平均の東口を出て、5分ほど歩いたところにあります。,RAG매칭
40,そのびるの近に歩きさ点は、とても吹息が良いです。,その近くで歩き始めるのは、とても吹き息が良いです。,RAG매칭
41,信号を当たらずに、手前のつの左に曲がってください。,信号を渡らず、手前の左に曲がってください。,RAG매칭
